match_id,winner_event_id,winner_event_type,target
3764440,aa436187-a199-4a19-8fa8-44836e64e36e,Pass,0
3764440,4a40f0ca-9d7c-4659-9f8a-3a16751ef3a0,Clearance,0
3764440,c6778011-e687-4076-ba0e-10ba2cf82c24,Clearance,0
3764440,616f5ce8-67c3-48c1-bff6-eda55d4b09ce,Pass,0
3764661,940138f9-c95e-40a8-901a-e3e8f3649aff,Pass,0
3764661,cb65248c-2cb2-44ab-9bde-f7de1de71e93,Pass,0
3764661,dd9f533c-4405-4163-aec3-81c426b9c645,Clearance,0
3764661,e0e3b6d0-7e59-4709-92aa-d77359446d17,Pass,0
3764661,c4626dae-5af1-4c46-9279-46045bb439ec,Pass,0
3764661,2d69069f-d976-4b84-8f96-245bcd5c41e0,Pass,0
3764661,bc9bebd8-24c5-4856-9811-09d3fac8d07f,Clearance,0
3764661,94c81e29-9380-4c31-860e-e41d08e5b09a,Clearance,0
3773369,3f22ad23-8849-4cdc-bf2c-a3198786d8d8,Pass,0
3773369,0ede2a5a-14ca-4fad-975f-631ec61e3db8,Pass,0
3773369,688d5b2e-3000-472f-bf79-8cfe5505b0ae,Pass,0
3773369,fc80d7b4-a1f9-4457-bdb9-3d9b28644eec,Pass,0
3773369,a1b87f23-832f-4597-8c5a-057da606e967,Clearance,1
3773372,c0694b7c-b58e-43f9-941e-af8a41b0cc67,Clearance,1
3773372,4d8b90ec-6ea2-4c47-a593-9f42741c60b6,Clearance,0
3773372,8ae292f0-8e58-42bd-9fa4-37a4b2cd210a,Pass,1
3773372,f491764d-dba5-4b9e-a9a1-aaa3879cd38f,Clearance,1
3773372,45f81e0d-75d0-4ee0-9a4c-caa747e131cb,Pass,1
3773372,38c1eec1-b1fc-4d08-a3f0-21344db43e43,Pass,0
3773372,261334c4-7479-4c38-be61-36d30c2a4ef4,Pass,0
3773377,3571f1b0-7354-45cd-bd6a-fe343a62b1d3,Clearance,0
3773377,80bdeaae-517f-44e0-969f-99291ad0c8bc,Pass,0
3773377,9d9c0a9e-4ba9-4ba7-a441-014178340991,Pass,0
3773377,4ce2ff6f-7168-4526-9561-0192877ff410,Clearance,1
3773377,71fdcceb-f8fc-481b-b109-d192e8de1124,Pass,0
3773386,775e98af-274b-4c51-a1d4-e8b556abcb93,Pass,0
3773386,56d60039-44f0-46d5-b588-6ab913980867,Pass,0
3773386,c60e395a-a13f-4ece-b384-ffe686118665,Clearance,0
